"pubmed","journal","date","any.ci"
"12453842","British journal of sports medicine","2002/12/01",FALSE
"12453841","British journal of sports medicine","2002/12/01",FALSE
"12453840","British journal of sports medicine","2002/12/01",FALSE
"12453839","British journal of sports medicine","2002/12/01",TRUE
"12453838","British journal of sports medicine","2002/12/01",FALSE
"12453837","British journal of sports medicine","2002/12/01",FALSE
"12453836","British journal of sports medicine","2002/12/01",FALSE
"12453835","British journal of sports medicine","2002/12/01",FALSE
"12453834","British journal of sports medicine","2002/12/01",FALSE
"12453833","British journal of sports medicine","2002/12/01",FALSE
"12351340","British journal of sports medicine","2002/10/01",FALSE
"12351339","British journal of sports medicine","2002/10/01",FALSE
"12351338","British journal of sports medicine","2002/10/01",FALSE
"12351337","British journal of sports medicine","2002/10/01",FALSE
"12351336","British journal of sports medicine","2002/10/01",FALSE
"12351335","British journal of sports medicine","2002/10/01",FALSE
"12351333","British journal of sports medicine","2002/10/01",FALSE
"12351332","British journal of sports medicine","2002/10/01",FALSE
"12351331","British journal of sports medicine","2002/10/01",FALSE
"12351330","British journal of sports medicine","2002/10/01",TRUE
"12351329","British journal of sports medicine","2002/10/01",FALSE
"12351328","British journal of sports medicine","2002/10/01",FALSE
"12351327","British journal of sports medicine","2002/10/01",FALSE
"12145125","British journal of sports medicine","2002/08/01",FALSE
"12145124","British journal of sports medicine","2002/08/01",FALSE
"12145123","British journal of sports medicine","2002/08/01",FALSE
"12145122","British journal of sports medicine","2002/08/01",FALSE
"12145121","British journal of sports medicine","2002/08/01",FALSE
"12145120","British journal of sports medicine","2002/08/01",FALSE
"12145119","British journal of sports medicine","2002/08/01",FALSE
"12145118","British journal of sports medicine","2002/08/01",FALSE
"12145117","British journal of sports medicine","2002/08/01",TRUE
"12145116","British journal of sports medicine","2002/08/01",FALSE
"12145115","British journal of sports medicine","2002/08/01",FALSE
"12145114","British journal of sports medicine","2002/08/01",FALSE
"12145113","British journal of sports medicine","2002/08/01",FALSE
"12145112","British journal of sports medicine","2002/08/01",FALSE
"12055123","British journal of sports medicine","2002/06/01",FALSE
"12055122","British journal of sports medicine","2002/06/01",FALSE
"12055121","British journal of sports medicine","2002/06/01",FALSE
"12055120","British journal of sports medicine","2002/06/01",FALSE
"12055118","British journal of sports medicine","2002/06/01",FALSE
"12055117","British journal of sports medicine","2002/06/01",FALSE
"12055116","British journal of sports medicine","2002/06/01",FALSE
"12055115","British journal of sports medicine","2002/06/01",FALSE
"12055114","British journal of sports medicine","2002/06/01",FALSE
"12055113","British journal of sports medicine","2002/06/01",TRUE
"12055112","British journal of sports medicine","2002/06/01",TRUE
"12055111","British journal of sports medicine","2002/06/01",FALSE
"12055110","British journal of sports medicine","2002/06/01",FALSE
"12055109","British journal of sports medicine","2002/06/01",FALSE
"11916903","British journal of sports medicine","2002/04/01",FALSE
"11916902","British journal of sports medicine","2002/04/01",FALSE
"11916901","British journal of sports medicine","2002/04/01",FALSE
"11916899","British journal of sports medicine","2002/04/01",TRUE
"11916898","British journal of sports medicine","2002/04/01",TRUE
"11916897","British journal of sports medicine","2002/04/01",FALSE
"11916896","British journal of sports medicine","2002/04/01",FALSE
"11916895","British journal of sports medicine","2002/04/01",FALSE
"11916894","British journal of sports medicine","2002/04/01",FALSE
"11916893","British journal of sports medicine","2002/04/01",FALSE
"11916892","British journal of sports medicine","2002/04/01",TRUE
"11916891","British journal of sports medicine","2002/04/01",FALSE
"11916890","British journal of sports medicine","2002/04/01",FALSE
"11916889","British journal of sports medicine","2002/04/01",TRUE
"11916888","British journal of sports medicine","2002/04/01",FALSE
"11916887","British journal of sports medicine","2002/04/01",FALSE
"11867500","British journal of sports medicine","2002/02/01",FALSE
"11867499","British journal of sports medicine","2002/02/01",FALSE
"11867498","British journal of sports medicine","2002/02/01",FALSE
"11867497","British journal of sports medicine","2002/02/01",FALSE
"11867496","British journal of sports medicine","2002/02/01",FALSE
"11867495","British journal of sports medicine","2002/02/01",FALSE
"11867494","British journal of sports medicine","2002/02/01",FALSE
"11867493","British journal of sports medicine","2002/02/01",FALSE
"11867492","British journal of sports medicine","2002/02/01",FALSE
"11867491","British journal of sports medicine","2002/02/01",FALSE
"11867490","British journal of sports medicine","2002/02/01",FALSE
"11867489","British journal of sports medicine","2002/02/01",TRUE
"11867488","British journal of sports medicine","2002/02/01",FALSE
"11867487","British journal of sports medicine","2002/02/01",FALSE
"14665603","British journal of sports medicine","2003/12/01",FALSE
"14665602","British journal of sports medicine","2003/12/01",FALSE
"14665601","British journal of sports medicine","2003/12/01",FALSE
"14665600","British journal of sports medicine","2003/12/01",FALSE
"14665599","British journal of sports medicine","2003/12/01",FALSE
"14665598","British journal of sports medicine","2003/12/01",FALSE
"14665596","British journal of sports medicine","2003/12/01",FALSE
"14665595","British journal of sports medicine","2003/12/01",FALSE
"14665593","British journal of sports medicine","2003/12/01",FALSE
"14665592","British journal of sports medicine","2003/12/01",FALSE
"14665591","British journal of sports medicine","2003/12/01",FALSE
"14665590","British journal of sports medicine","2003/12/01",FALSE
"14665589","British journal of sports medicine","2003/12/01",FALSE
"14665588","British journal of sports medicine","2003/12/01",FALSE
"14665587","British journal of sports medicine","2003/12/01",FALSE
"14665586","British journal of sports medicine","2003/12/01",FALSE
"14665585","British journal of sports medicine","2003/12/01",FALSE
"14665584","British journal of sports medicine","2003/12/01",FALSE
"14665582","British journal of sports medicine","2003/12/01",FALSE
"14665581","British journal of sports medicine","2003/12/01",FALSE
"14514544","British journal of sports medicine","2003/01/01",FALSE
"14514543","British journal of sports medicine","2003/01/01",FALSE
"14514542","British journal of sports medicine","2003/01/01",FALSE
"14514541","British journal of sports medicine","2003/01/01",FALSE
"14514540","British journal of sports medicine","2003/01/01",FALSE
"14514539","British journal of sports medicine","2003/01/01",FALSE
"14514538","British journal of sports medicine","2003/01/01",FALSE
"14514537","British journal of sports medicine","2003/01/01",FALSE
"14514536","British journal of sports medicine","2003/01/01",FALSE
"14514535","British journal of sports medicine","2003/01/01",FALSE
"14514534","British journal of sports medicine","2003/01/01",TRUE
"14514533","British journal of sports medicine","2003/01/01",FALSE
"14514532","British journal of sports medicine","2003/01/01",FALSE
"14514531","British journal of sports medicine","2003/01/01",FALSE
"14514530","British journal of sports medicine","2003/01/01",FALSE
"14514529","British journal of sports medicine","2003/01/01",FALSE
"14514528","British journal of sports medicine","2003/01/01",FALSE
"14514527","British journal of sports medicine","2003/01/01",FALSE
"12893730","British journal of sports medicine","2003/08/01",FALSE
"12893729","British journal of sports medicine","2003/08/01",FALSE
"12893728","British journal of sports medicine","2003/08/01",FALSE
"12893727","British journal of sports medicine","2003/08/01",FALSE
"12893726","British journal of sports medicine","2003/08/01",FALSE
"12893725","British journal of sports medicine","2003/08/01",FALSE
"12893724","British journal of sports medicine","2003/08/01",FALSE
"12893723","British journal of sports medicine","2003/08/01",FALSE
"12893722","British journal of sports medicine","2003/08/01",FALSE
"12893721","British journal of sports medicine","2003/08/01",FALSE
"12893720","British journal of sports medicine","2003/08/01",FALSE
"12893719","British journal of sports medicine","2003/08/01",FALSE
"12893718","British journal of sports medicine","2003/08/01",FALSE
"12893717","British journal of sports medicine","2003/08/01",FALSE
"12893716","British journal of sports medicine","2003/08/01",FALSE
"12893715","British journal of sports medicine","2003/08/01",FALSE
"12893714","British journal of sports medicine","2003/08/01",FALSE
"12893713","British journal of sports medicine","2003/08/01",FALSE
"12893712","British journal of sports medicine","2003/08/01",FALSE
"12893711","British journal of sports medicine","2003/08/01",FALSE
"12893710","British journal of sports medicine","2003/08/01",FALSE
"12893709","British journal of sports medicine","2003/08/01",FALSE
"12893708","British journal of sports medicine","2003/08/01",FALSE
"12893707","British journal of sports medicine","2003/08/01",FALSE
"12782558","British journal of sports medicine","2003/06/01",FALSE
"12782557","British journal of sports medicine","2003/06/01",FALSE
"12782556","British journal of sports medicine","2003/06/01",FALSE
"12782555","British journal of sports medicine","2003/06/01",FALSE
"12782554","British journal of sports medicine","2003/06/01",FALSE
"12782553","British journal of sports medicine","2003/06/01",FALSE
"12782552","British journal of sports medicine","2003/06/01",FALSE
"12782551","British journal of sports medicine","2003/06/01",FALSE
"12782550","British journal of sports medicine","2003/06/01",FALSE
"12782549","British journal of sports medicine","2003/06/01",FALSE
"12782548","British journal of sports medicine","2003/06/01",FALSE
"12782547","British journal of sports medicine","2003/06/01",FALSE
"12782546","British journal of sports medicine","2003/06/01",FALSE
"12782545","British journal of sports medicine","2003/06/01",FALSE
"12782544","British journal of sports medicine","2003/06/01",FALSE
"12782543","British journal of sports medicine","2003/06/01",FALSE
"12663366","British journal of sports medicine","2003/04/01",FALSE
"12663365","British journal of sports medicine","2003/04/01",FALSE
"12663364","British journal of sports medicine","2003/04/01",FALSE
"12663363","British journal of sports medicine","2003/04/01",FALSE
"12663362","British journal of sports medicine","2003/04/01",FALSE
"12663361","British journal of sports medicine","2003/04/01",FALSE
"12663360","British journal of sports medicine","2003/04/01",FALSE
"12663359","British journal of sports medicine","2003/04/01",FALSE
"12663358","British journal of sports medicine","2003/04/01",FALSE
"12663357","British journal of sports medicine","2003/04/01",FALSE
"12663356","British journal of sports medicine","2003/04/01",FALSE
"12663355","British journal of sports medicine","2003/04/01",FALSE
"12663354","British journal of sports medicine","2003/04/01",FALSE
"12663353","British journal of sports medicine","2003/04/01",FALSE
"12663352","British journal of sports medicine","2003/04/01",FALSE
"12663351","British journal of sports medicine","2003/04/01",FALSE
"12663350","British journal of sports medicine","2003/04/01",FALSE
"12663349","British journal of sports medicine","2003/04/01",FALSE
"12547753","British journal of sports medicine","2003/02/01",FALSE
"12547752","British journal of sports medicine","2003/02/01",FALSE
"12547751","British journal of sports medicine","2003/02/01",FALSE
"12547750","British journal of sports medicine","2003/02/01",TRUE
"12547749","British journal of sports medicine","2003/02/01",FALSE
