"pubmed","journal","order","is_percent","is_odds","is_risk","is_hazard","is_auc","ci_level","mean","lower","upper","source","ci_level_2","mistake"
12145117,"British journal of sports medicine",1,FALSE,FALSE,TRUE,FALSE,FALSE,NA,1.91,1.28,2.85,"abstract",NA,FALSE
12145117,"British journal of sports medicine",2,FALSE,FALSE,TRUE,FALSE,FALSE,95,1.62,1.04,2.5,"abstract",NA,FALSE
11916898,"British journal of sports medicine",1,FALSE,TRUE,FALSE,FALSE,FALSE,NA,4.07,1.65,10.08,"abstract",NA,FALSE
11916898,"British journal of sports medicine",2,FALSE,TRUE,FALSE,FALSE,FALSE,NA,3.82,1.6,9.13,"abstract",NA,FALSE
11916898,"British journal of sports medicine",3,FALSE,TRUE,FALSE,FALSE,FALSE,NA,1.9,1.14,3.17,"abstract",NA,FALSE
12547750,"British journal of sports medicine",1,FALSE,TRUE,FALSE,FALSE,FALSE,95,10.2,2.1,48.8,"abstract",NA,FALSE
15155438,"British journal of sports medicine",1,FALSE,TRUE,FALSE,FALSE,FALSE,95,0.7,0.55,0.89,"abstract",NA,FALSE
15039251,"British journal of sports medicine",1,FALSE,TRUE,FALSE,FALSE,FALSE,95,0.43,0.13,1.19,"abstract",NA,FALSE
15039251,"British journal of sports medicine",2,FALSE,TRUE,FALSE,FALSE,FALSE,95,0.57,0.21,1.46,"abstract",NA,FALSE
15039251,"British journal of sports medicine",3,FALSE,TRUE,FALSE,FALSE,FALSE,95,0.14,0.01,0.99,"abstract",NA,FALSE
16244195,"British journal of sports medicine",1,FALSE,FALSE,TRUE,FALSE,FALSE,NA,3.1,1.1,8.9,"abstract",NA,FALSE
16244195,"British journal of sports medicine",2,FALSE,FALSE,TRUE,FALSE,FALSE,95,2.5,0.9,7.4,"abstract",NA,FALSE
16244195,"British journal of sports medicine",3,FALSE,FALSE,TRUE,FALSE,FALSE,95,2,0.7,5.4,"abstract",NA,FALSE
16118301,"British journal of sports medicine",1,FALSE,FALSE,TRUE,FALSE,FALSE,95,0.65,0.51,0.82,"abstract",NA,FALSE
15728683,"British journal of sports medicine",1,FALSE,FALSE,TRUE,FALSE,FALSE,NA,1.09,1.01,1.18,"abstract",NA,FALSE
