"journal","n"
"American journal of physical medicine & rehabilitation",63
"Archives of physical medicine and rehabilitation",263
"British journal of sports medicine",269
"Clinical journal of sport medicine : official journal of the Canadian Academy of Sport Medicine",89
"European journal of physical and rehabilitation medicine",24
"International journal of sports medicine",40
"Journal of rehabilitation medicine",74
"Journal of science and medicine in sport",138
"Journal of sports science & medicine",16
"Medicine and science in sports and exercise",178
"Research in sports medicine (Print)",12
"Scandinavian journal of medicine & science in sports",94
"Sports medicine (Auckland, N.Z.)",38
"The American journal of sports medicine",375
"The Journal of sports medicine and physical fitness",37
"The Physician and sportsmedicine",34
