"","pubmed","journal","date","any.ci"
"1",32173259,"Journal of science and medicine in sport",2020-10-01,FALSE
"2",29564841,"International journal of sports medicine",2018-05-01,FALSE
"3",17496068,"British journal of sports medicine",2007-09-01,FALSE
"4",18164343,"Archives of physical medicine and rehabilitation",2008-01-01,FALSE
"5",31427879,"Journal of sports science & medicine",2019-08-01,FALSE
"6",31761559,"Journal of science and medicine in sport",2020-04-01,FALSE
"7",11877864,"Clinics in sports medicine",2002-01-01,FALSE
"8",12673156,"Medicine and science in sports and exercise",2003-04-01,FALSE
"9",17019307,"Medicine and science in sports and exercise",2006-10-01,FALSE
"10",32057086,"Journal of rehabilitation medicine",2020-02-27,FALSE
"11",29211970,"The American journal of sports medicine",2018-03-01,FALSE
"12",23562749,"Journal of science and medicine in sport",2014-01-01,FALSE
"13",20032909,"European journal of physical and rehabilitation medicine",2009-12-01,FALSE
"14",31327650,"Journal of science and medicine in sport",2019-12-01,FALSE
"15",17095937,"Medicine and science in sports and exercise",2006-11-01,FALSE
"16",31415448,"Medicine and science in sports and exercise",2020-02-01,FALSE
"17",12808530,"Archives of physical medicine and rehabilitation",2003-06-01,FALSE
"18",15370751,"Journal of rehabilitation medicine",2004-07-01,FALSE
"19",33411565,"The American journal of sports medicine",2021-03-01,FALSE
"20",18574350,"American journal of physical medicine & rehabilitation",2008-07-01,FALSE
"21",15759227,"Archives of physical medicine and rehabilitation",2005-03-01,FALSE
"22",17092926,"The American journal of sports medicine",2007-02-01,FALSE
"23",33168580,"British journal of sports medicine",2021-01-01,FALSE
"24",12141882,"Sports medicine (Auckland, N.Z.)",2002-01-01,FALSE
"25",33394897,"Medicine and science in sports and exercise",2021-06-01,FALSE
"26",29858467,"British journal of sports medicine",2018-06-01,FALSE
"27",15520985,"Archives of physical medicine and rehabilitation",2004-11-01,FALSE
"28",18703975,"Sports medicine and arthroscopy review",2008-09-01,FALSE
"29",16612743,"International journal of sports medicine",2006-12-01,FALSE
"30",24048910,"International journal of sports medicine",2014-05-01,FALSE
"31",25312706,"Sports medicine (Auckland, N.Z.)",2015-03-01,FALSE
"32",22280893,"Archives of physical medicine and rehabilitation",2012-03-01,FALSE
"33",18046181,"Medicine and science in sports and exercise",2007-12-01,FALSE
"34",24150082,"Journal of sports science & medicine",2012-12-01,FALSE
"35",27580144,"Medicine and science in sports and exercise",2017-01-01,FALSE
"36",33160856,"Journal of science and medicine in sport",2021-05-01,FALSE
"37",19486478,"Scandinavian journal of medicine & science in sports",2010-02-01,FALSE
"38",24567251,"The American journal of sports medicine",2014-04-01,FALSE
"39",33619951,"The Journal of sports medicine and physical fitness",2022-02-01,FALSE
"40",28419804,"The American journal of sports medicine",2017-07-01,FALSE
"41",15974635,"Sports medicine (Auckland, N.Z.)",2005-01-01,FALSE
"42",19454853,"American journal of physical medicine & rehabilitation",2009-06-01,FALSE
"43",35420502,"The American journal of sports medicine",2022-04-01,FALSE
"44",31412206,"The American journal of sports medicine",2019-10-01,FALSE
"45",30640289,"American journal of physical medicine & rehabilitation",2019-06-01,FALSE
"46",20926997,"European journal of physical and rehabilitation medicine",2010-09-01,FALSE
"47",17000713,"British journal of sports medicine",2007-01-01,FALSE
"48",26398202,"The Journal of sports medicine and physical fitness",2016-10-01,FALSE
"49",20086346,"The Physician and sportsmedicine",2005-02-01,FALSE
"50",35354059,"The American journal of sports medicine",2022-04-01,FALSE
"51",33616193,"Journal of rehabilitation medicine",2021-03-22,FALSE
"52",20086365,"The Physician and sportsmedicine",2005-06-01,FALSE
"53",16720889,"British journal of sports medicine",2006-06-01,FALSE
"54",24057029,"The American journal of sports medicine",2013-12-01,FALSE
"55",12974655,"Sports medicine (Auckland, N.Z.)",2003-01-01,FALSE
"56",16306503,"British journal of sports medicine",2005-12-01,FALSE
"57",28863074,"Medicine and science in sports and exercise",2018-01-01,FALSE
"58",30703350,"Archives of physical medicine and rehabilitation",2019-06-01,FALSE
"59",17805087,"Medicine and science in sports and exercise",2007-09-01,FALSE
"60",24149966,"Journal of sports science & medicine",2008-12-01,FALSE
"61",22311054,"American journal of physical medicine & rehabilitation",2012-05-01,FALSE
"62",35302902,"The American journal of sports medicine",2022-05-01,FALSE
"63",32081605,"Journal of science and medicine in sport",2020-06-01,FALSE
"64",33480512,"The Journal of sports medicine and physical fitness",2021-11-01,FALSE
"65",16244192,"British journal of sports medicine",2005-11-01,FALSE
"66",26274891,"Research in sports medicine (Print)",2015-01-01,FALSE
"67",19204581,"Medicine and science in sports and exercise",2009-03-01,FALSE
"68",31241527,"Clinical journal of sport medicine : official journal of the Canadian Academy of Sport Medicine",2019-07-01,FALSE
"69",31818059,"The Journal of sports medicine and physical fitness",2020-03-01,FALSE
"70",31877090,"The American journal of sports medicine",2020-01-01,FALSE
"71",20048539,"The Physician and sportsmedicine",2009-12-01,FALSE
"72",24458240,"The American journal of sports medicine",2014-03-01,FALSE
"73",17999009,"Journal of rehabilitation medicine",2007-11-01,FALSE
"74",25144429,"International journal of sports medicine",2014-12-01,FALSE
"75",17993980,"American journal of physical medicine & rehabilitation",2009-01-01,FALSE
"76",23322892,"British journal of sports medicine",2013-07-01,FALSE
"77",25430598,"Sports medicine (Auckland, N.Z.)",2015-04-01,FALSE
"78",21353825,"Archives of physical medicine and rehabilitation",2011-03-01,FALSE
"79",26777722,"Journal of science and medicine in sport",2016-08-01,FALSE
"80",15827364,"The American journal of sports medicine",2005-06-01,FALSE
"81",23730848,"Scandinavian journal of medicine & science in sports",2014-10-01,FALSE
"82",30462925,"The Physician and sportsmedicine",2019-05-01,FALSE
"83",19067277,"International journal of sports medicine",2009-02-01,FALSE
"84",33315808,"Medicine and science in sports and exercise",2021-06-01,FALSE
"85",18027993,"Sports medicine (Auckland, N.Z.)",2007-01-01,FALSE
"86",26035683,"Clinical journal of sport medicine : official journal of the Canadian Academy of Sport Medicine",2016-03-01,FALSE
"87",12145121,"British journal of sports medicine",2002-08-01,FALSE
"88",22212272,"The Journal of sports medicine and physical fitness",2011-12-01,FALSE
"89",29033146,"Journal of science and medicine in sport",2018-06-01,FALSE
"90",18416593,"Sports medicine (Auckland, N.Z.)",2008-01-01,FALSE
"91",20199122,"Sports medicine (Auckland, N.Z.)",2010-03-01,FALSE
"92",24658430,"American journal of physical medicine & rehabilitation",2014-08-01,FALSE
"93",30419173,"The American journal of sports medicine",2018-12-01,FALSE
"94",27457540,"Archives of physical medicine and rehabilitation",2017-02-01,FALSE
"95",27128672,"Medicine and science in sports and exercise",2016-09-01,FALSE
"96",20048502,"The Physician and sportsmedicine",2009-04-01,FALSE
"97",24033688,"Scandinavian journal of medicine & science in sports",2014-06-01,FALSE
"98",22951598,"Journal of rehabilitation medicine",2012-11-01,FALSE
"99",26936269,"Sports medicine (Auckland, N.Z.)",2016-12-01,FALSE
"100",24149418,"Journal of sports science & medicine",2007-09-01,FALSE
