"","pubmed","journal","date","any.ci"
"1",34097540,"The American journal of sports medicine",2021-07-01,TRUE
"2",33405942,"The American journal of sports medicine",2021-02-01,TRUE
"3",23698249,"Medicine and science in sports and exercise",2013-12-01,TRUE
"4",18164333,"Archives of physical medicine and rehabilitation",2008-01-01,TRUE
"5",28543566,"Scandinavian journal of medicine & science in sports",2018-02-01,TRUE
"6",24481826,"The American journal of sports medicine",2014-03-01,TRUE
"7",29984565,"European journal of physical and rehabilitation medicine",2019-02-01,TRUE
"8",12098162,"Archives of physical medicine and rehabilitation",2002-07-01,TRUE
"9",17207682,"Archives of physical medicine and rehabilitation",2007-01-01,TRUE
"10",35144479,"The American journal of sports medicine",2022-03-01,TRUE
"11",21543346,"British journal of sports medicine",2011-10-01,TRUE
"12",24862765,"Archives of physical medicine and rehabilitation",2014-11-01,TRUE
"13",30346313,"Clinical journal of sport medicine : official journal of the Canadian Academy of Sport Medicine",2020-09-01,TRUE
"14",30655179,"Journal of science and medicine in sport",2019-07-01,TRUE
"15",22521425,"Journal of science and medicine in sport",2012-09-01,TRUE
"16",20801266,"Archives of physical medicine and rehabilitation",2010-09-01,TRUE
"17",31593622,"Scandinavian journal of medicine & science in sports",2020-01-01,TRUE
"18",29371223,"British journal of sports medicine",2019-08-01,TRUE
"19",23673520,"British journal of sports medicine",2014-01-01,TRUE
"20",27889869,"Sports medicine (Auckland, N.Z.)",2017-06-01,TRUE
"21",18586124,"Archives of physical medicine and rehabilitation",2008-07-01,TRUE
"22",21814140,"Clinical journal of sport medicine : official journal of the Canadian Academy of Sport Medicine",2011-09-01,TRUE
"23",26964146,"British journal of sports medicine",2016-12-01,TRUE
"24",28106621,"Medicine and science in sports and exercise",2017-06-01,TRUE
"25",29525763,"British journal of sports medicine",2018-07-01,TRUE
"26",17067970,"Journal of rehabilitation medicine",2006-11-01,TRUE
"27",29995670,"Clinical journal of sport medicine : official journal of the Canadian Academy of Sport Medicine",2020-05-01,TRUE
"28",34339311,"The American journal of sports medicine",2021-08-02,TRUE
"29",34736919,"Archives of physical medicine and rehabilitation",2022-01-01,TRUE
"30",27779488,"American journal of physical medicine & rehabilitation",2017-06-01,TRUE
"31",22225573,"Archives of physical medicine and rehabilitation",2012-03-01,TRUE
"32",32315648,"Archives of physical medicine and rehabilitation",2020-08-01,TRUE
"33",25451790,"The American journal of sports medicine",2015-08-01,TRUE
"34",28258581,"Sports medicine (Auckland, N.Z.)",2017-09-01,TRUE
"35",16778541,"Clinical journal of sport medicine : official journal of the Canadian Academy of Sport Medicine",2006-05-01,TRUE
"36",23479484,"British journal of sports medicine",2013-04-01,TRUE
"37",30448322,"Journal of science and medicine in sport",2019-04-01,TRUE
"38",32364755,"The American journal of sports medicine",2020-06-01,TRUE
"39",14966707,"Archives of physical medicine and rehabilitation",2004-02-01,TRUE
"40",27070112,"Clinical journal of sport medicine : official journal of the Canadian Academy of Sport Medicine",2016-09-01,TRUE
"41",20051727,"Clinical journal of sport medicine : official journal of the Canadian Academy of Sport Medicine",2010-01-01,TRUE
"42",35184953,"Journal of science and medicine in sport",2022-05-01,TRUE
"43",34211319,"Journal of sports science & medicine",2021-03-15,TRUE
"44",23006143,"Sports medicine (Auckland, N.Z.)",2012-11-01,TRUE
"45",24350597,"Scandinavian journal of medicine & science in sports",2015-02-01,TRUE
